x_pix,amp,snr,fwhm_pix,profile_I
414.469407,50.408657,15.198027,2.555715,285.312760
493.607103,9.810544,2.957843,2.292478,64.107177
617.541702,26.874700,8.102625,2.503782,119.480217
789.455776,34.202216,10.311844,2.533795,161.636056
800.553231,37.360269,11.263985,2.481451,214.412307
811.426236,32.540434,9.810823,2.268922,109.645075
883.936773,28.184900,8.497645,1.887970,238.202115
973.599068,150.813878,45.469836,2.391469,555.537819
987.417784,31.060544,9.364641,2.194767,189.520257
1037.483720,23.368978,7.045662,2.523813,106.131981
1080.202587,23.574325,7.107573,2.131440,98.618626
1135.278372,209.954656,63.300566,2.355276,1094.423445
1212.098718,19.398368,5.848537,1.859825,101.674783
1260.186323,6.624108,1.997145,2.089455,48.902953
1409.714349,83.674081,25.227432,2.411082,678.071911
1453.346485,41.154762,12.408011,2.400094,164.707393
1467.700993,18.809393,5.670964,2.462822,89.596339
1494.614361,17.018469,5.131007,2.424993,63.913023
1515.144736,15.224822,4.590229,1.947028,73.033886
1527.287174,12.822922,3.866065,2.030529,82.852424
1547.432758,23.085450,6.960179,2.389132,107.562722
1576.989123,32.796786,9.888112,1.949909,157.021135
1599.845355,35.781962,10.788132,2.334581,180.118766
1640.031926,185.874857,56.040594,1.929379,905.571822
1677.739456,26.305250,7.930937,2.173652,126.534743
1696.310771,6.235953,1.880117,2.229221,46.927384
1741.466685,1170.850418,353.007148,2.421158,4024.530141
1765.117098,192.190915,57.944863,2.057682,916.606321
1775.675704,73.284238,22.094932,2.333865,314.214311
1789.614415,7.746762,2.335621,2.303750,50.314895
1810.641704,120.350938,36.285371,2.375646,505.184867
1849.401852,23.298629,7.024452,2.323247,245.722480
1879.669394,88.387913,26.648635,2.358504,361.270850
1887.683185,62.862919,18.952942,2.313087,254.150431
1896.695902,21.037907,6.342853,2.125388,131.827332
1926.623453,88.092831,26.559668,2.426325,391.251019
1943.031649,33.590787,10.127500,2.143758,298.997952
1961.324489,36.243444,10.927267,2.333025,154.521078
1973.792261,9.987974,3.011338,2.250420,60.721498
2048.513473,8.898440,2.682847,2.405546,61.377695
2075.604676,346.532012,104.478143,2.426819,1318.688725
2087.214602,436.118012,131.487997,2.065562,1768.774954
2104.291525,11.507581,3.469494,2.154103,100.090192
2119.903385,23.013375,6.938449,2.131881,106.397099
2148.561451,94.927625,28.620334,2.453813,333.807049
2168.610103,15.007219,4.524622,2.308872,60.232583
2183.079236,42.617750,12.849097,2.023443,243.079380
2199.485529,11.291331,3.404295,2.137014,62.956178
2247.404860,39.523279,11.916125,2.421339,149.460916
2315.300039,42.139746,12.704980,2.202028,163.264387
2327.017507,10.119169,3.050893,2.113817,70.918377
2362.146694,7.736091,2.332403,2.134659,59.354014
2413.399483,36.079132,10.877727,2.539388,236.934461
2447.506472,127.456082,38.427546,2.508985,481.845784
2477.552689,22.651604,6.829376,2.488778,123.225006
2501.724856,21.087182,6.357709,4.663904,58.714145
2507.499414,205.820956,62.054271,2.532965,751.436460
2523.789967,540.108113,162.840634,2.273841,3764.250904
2564.681167,81.232875,24.491417,2.385648,510.284455
2580.766612,257.470925,77.626549,2.302786,1759.686902
2613.847416,1888.464599,569.365217,2.210227,14398.073827
2637.445632,889.659362,268.229066,2.525489,4385.104065
2640.197515,873.137200,263.247694,1.748045,3373.087559
2666.750833,282.287224,85.108573,2.008728,744.703014
2671.219754,143.263943,43.193559,2.182285,363.099270
2707.885287,391.639681,118.077941,2.174330,3093.621998
2728.306917,29.009555,8.746276,2.548213,234.690237
2738.604358,309.096250,93.191397,2.467191,1327.948582
2753.016557,114.930607,34.651160,2.107972,450.028450
2764.810247,9.721250,2.930922,2.153425,111.384485
2794.645883,271.156407,81.752672,2.503351,1076.347057
2809.818368,22.241262,6.705660,1.875563,128.897704
2834.464774,68.871519,20.764513,3.528957,113.218579
2839.524053,676.721494,204.029072,2.565333,2424.956838
2861.568355,978.093975,294.891781,2.545232,4197.045664
2883.622551,30.534768,9.206122,2.481355,216.314470
2894.576860,25.331388,7.637321,2.557566,160.788430
2909.377699,1245.696943,375.573104,2.443342,7165.246566
2930.050079,281.615830,84.906150,1.947044,2227.500709
2941.099726,14.020363,4.227089,2.352647,146.549018
2948.641641,79.359176,23.926503,2.456269,465.779770
2972.651274,8.725806,2.630799,2.340587,98.478989
2983.831850,195.158069,58.839449,1.991029,1119.961381
3014.435897,17.392143,5.243668,2.484703,118.379499
3034.387615,625.532181,188.595681,2.444198,2992.556704
3062.299356,21.798837,6.572270,2.098437,175.030387
3073.102545,118.565863,35.747177,2.044337,760.775176
3102.790894,398.724993,120.214137,2.243189,2505.222114
3120.521352,15.431612,4.652575,2.551956,106.305356
3152.380551,835.793424,251.988682,2.425744,3649.176784
3171.640407,2763.597555,833.214625,2.418056,11511.428713
3214.599467,16.777650,5.058401,2.377194,106.739589
3277.477777,1031.922018,311.120740,2.472627,3165.171647
3304.250621,197.989707,59.693177,2.271851,882.433059
3371.317426,420.167562,126.678994,2.338193,1566.150636
3451.663820,1292.094450,389.561783,2.302368,4618.697674
3491.344273,467.470470,140.940649,2.344939,1484.329178
3527.682008,26.111800,7.872613,2.230014,124.464109
3648.612183,42.930400,12.943360,2.276651,164.438065
3708.369432,737.895194,222.472721,2.344544,2126.579070
3745.300261,164.589669,49.623187,2.286038,524.971942
3814.246804,3546.471056,1069.248142,2.239889,11656.242323
3848.325974,621.708970,187.442996,2.290417,2192.401797
3932.652287,13.253419,3.995858,2.143413,64.001215
3960.544331,81.661838,24.620747,2.336638,273.069325
4034.625062,1065.004656,321.095036,2.308106,3528.970009
4065.657751,29.076306,8.766401,4.957331,127.745756
4072.535526,188.686838,56.888396,2.389756,654.034001
